time_namelookup (seconds),time_connect (seconds),time_appconnect (seconds),time_pretransfer (seconds),time_redirect (seconds),time_starttransfer (seconds),time_total (seconds)
0.000020,0.000126,0.000000,0.000156,0.000000,0.008417,0.008468
0.000021,0.000124,0.000000,0.000153,0.000000,0.010302,0.010332
0.000022,0.000116,0.000000,0.000144,0.000000,0.008631,0.008688
0.000019,0.000132,0.000000,0.000162,0.000000,0.009710,0.009740
0.000020,0.000131,0.000000,0.000159,0.000000,0.007231,0.007320
0.000018,0.000128,0.000000,0.000157,0.000000,0.007059,0.007109
0.000021,0.000119,0.000000,0.000151,0.000000,0.014331,0.014383
0.000021,0.000136,0.000000,0.000165,0.000000,0.010146,0.010234
0.000020,0.000132,0.000000,0.000166,0.000000,0.009411,0.009456
0.000020,0.000129,0.000000,0.000162,0.000000,0.014796,0.014828
0.000021,0.000147,0.000000,0.000177,0.000000,0.007460,0.007506
0.000021,0.000132,0.000000,0.000163,0.000000,0.010285,0.010330
0.000020,0.000131,0.000000,0.000160,0.000000,0.007927,0.007956
0.000024,0.000134,0.000000,0.000163,0.000000,0.007797,0.007826
0.000021,0.000122,0.000000,0.000153,0.000000,0.011168,0.011212
0.000019,0.000130,0.000000,0.000202,0.000000,0.009520,0.009571
0.000018,0.000128,0.000000,0.000157,0.000000,0.009313,0.009346
0.000021,0.000133,0.000000,0.000166,0.000000,0.010303,0.010362
0.000019,0.000134,0.000000,0.000167,0.000000,0.011850,0.011901
0.000024,0.000133,0.000000,0.000163,0.000000,0.010859,0.010901
0.000023,0.000134,0.000000,0.000163,0.000000,0.013500,0.013548
0.000019,0.000130,0.000000,0.000160,0.000000,0.007661,0.007693
0.000018,0.000130,0.000000,0.000159,0.000000,0.010120,0.010239
0.000024,0.000133,0.000000,0.000166,0.000000,0.007451,0.007523
0.000021,0.000129,0.000000,0.000158,0.000000,0.010657,0.010688
0.000019,0.000129,0.000000,0.000166,0.000000,0.007179,0.007209
0.000019,0.000132,0.000000,0.000164,0.000000,0.009749,0.009792
0.000019,0.000126,0.000000,0.000155,0.000000,0.009197,0.009227
0.000021,0.000135,0.000000,0.000164,0.000000,0.007241,0.007278
0.000020,0.000131,0.000000,0.000166,0.000000,0.009323,0.009390
0.000021,0.000131,0.000000,0.000159,0.000000,0.010306,0.010357
0.000018,0.000126,0.000000,0.000155,0.000000,0.008091,0.008124
0.000021,0.000127,0.000000,0.000162,0.000000,0.010348,0.010396
0.000019,0.000131,0.000000,0.000164,0.000000,0.009616,0.009654
0.000021,0.000132,0.000000,0.000166,0.000000,0.010273,0.010324
0.000020,0.000134,0.000000,0.000168,0.000000,0.011370,0.011464
0.000021,0.000138,0.000000,0.000168,0.000000,0.011546,0.011577
0.000020,0.000305,0.000000,0.000346,0.000000,0.014078,0.014128
0.000021,0.000134,0.000000,0.000164,0.000000,0.008109,0.008159
0.000018,0.000129,0.000000,0.000157,0.000000,0.009824,0.009856
0.000018,0.000125,0.000000,0.000156,0.000000,0.011807,0.011837
0.000020,0.000128,0.000000,0.000157,0.000000,0.009099,0.009141
0.000020,0.000134,0.000000,0.000162,0.000000,0.009685,0.009733
0.000018,0.000129,0.000000,0.000159,0.000000,0.007394,0.007442
0.000020,0.000131,0.000000,0.000159,0.000000,0.012265,0.012294
0.000018,0.000138,0.000000,0.000168,0.000000,0.010599,0.010645
0.000022,0.000130,0.000000,0.000163,0.000000,0.009367,0.009397
0.000017,0.000129,0.000000,0.000159,0.000000,0.009814,0.009862
0.000019,0.000127,0.000000,0.000156,0.000000,0.008027,0.008064
0.000020,0.000133,0.000000,0.000164,0.000000,0.009092,0.009138
0.000020,0.000127,0.000000,0.000158,0.000000,0.010187,0.010238
0.000035,0.000149,0.000000,0.000177,0.000000,0.010390,0.010440
0.000022,0.000130,0.000000,0.000159,0.000000,0.010117,0.010146
0.000020,0.000127,0.000000,0.000160,0.000000,0.009447,0.009480
0.000020,0.000115,0.000000,0.000148,0.000000,0.009049,0.009082
0.000020,0.000132,0.000000,0.000162,0.000000,0.007452,0.007503
0.000019,0.000117,0.000000,0.000147,0.000000,0.010337,0.010381
0.000019,0.000127,0.000000,0.000156,0.000000,0.009488,0.009534
0.000018,0.000129,0.000000,0.000158,0.000000,0.009264,0.009306
0.000023,0.000127,0.000000,0.000156,0.000000,0.009137,0.009183
0.000019,0.000133,0.000000,0.000162,0.000000,0.010098,0.010142
0.000019,0.000129,0.000000,0.000159,0.000000,0.007213,0.007261
0.000020,0.000132,0.000000,0.000164,0.000000,0.009485,0.009529
0.000021,0.000135,0.000000,0.000165,0.000000,0.013560,0.013591
0.000017,0.000136,0.000000,0.000166,0.000000,0.012060,0.012096
0.000022,0.000119,0.000000,0.000148,0.000000,0.013985,0.014031
0.000021,0.000164,0.000000,0.000199,0.000000,0.011775,0.011866
0.000021,0.000122,0.000000,0.000154,0.000000,0.010556,0.010749
0.000023,0.000138,0.000000,0.000167,0.000000,0.010528,0.010571
0.000020,0.000118,0.000000,0.000148,0.000000,0.012779,0.012811
0.000019,0.000131,0.000000,0.000161,0.000000,0.010144,0.010192
0.000021,0.000144,0.000000,0.000177,0.000000,0.008393,0.008421
0.000017,0.000126,0.000000,0.000155,0.000000,0.011469,0.011501
0.000018,0.000128,0.000000,0.000157,0.000000,0.009677,0.009719
0.000021,0.000127,0.000000,0.000158,0.000000,0.009134,0.009181
0.000018,0.000129,0.000000,0.000157,0.000000,0.011566,0.011608
0.000021,0.000136,0.000000,0.000165,0.000000,0.007277,0.007316
0.000023,0.000133,0.000000,0.000167,0.000000,0.007828,0.007870
0.000020,0.000129,0.000000,0.000159,0.000000,0.012349,0.012394
0.000018,0.000116,0.000000,0.000143,0.000000,0.008755,0.008803
0.000020,0.000121,0.000000,0.000150,0.000000,0.013721,0.013754
0.000020,0.000302,0.000000,0.000338,0.000000,0.011971,0.012002
0.000019,0.000124,0.000000,0.000157,0.000000,0.014085,0.014134
0.000020,0.000128,0.000000,0.000160,0.000000,0.010641,0.010682
0.000021,0.000133,0.000000,0.000161,0.000000,0.012698,0.012732
0.000022,0.000134,0.000000,0.000162,0.000000,0.009227,0.009270
0.000021,0.000129,0.000000,0.000162,0.000000,0.007557,0.007620
0.000023,0.000132,0.000000,0.000177,0.000000,0.009334,0.009384
0.000018,0.000120,0.000000,0.000149,0.000000,0.009060,0.009092
0.000020,0.000117,0.000000,0.000147,0.000000,0.009057,0.009099
0.000018,0.000126,0.000000,0.000154,0.000000,0.007937,0.007966
0.000019,0.000117,0.000000,0.000146,0.000000,0.007233,0.007262
0.000019,0.000130,0.000000,0.000164,0.000000,0.018242,0.018328
0.000020,0.000138,0.000000,0.000168,0.000000,0.016529,0.016611
0.000020,0.000139,0.000000,0.000169,0.000000,0.011103,0.011158
0.000018,0.000131,0.000000,0.000160,0.000000,0.008640,0.008682
0.000021,0.000141,0.000000,0.000170,0.000000,0.011464,0.011532
0.000022,0.000383,0.000000,0.002298,0.000000,0.013039,0.013070
0.000021,0.000135,0.000000,0.000165,0.000000,0.014199,0.014234
0.000020,0.000131,0.000000,0.000161,0.000000,0.013113,0.013147
0.000019,0.000150,0.000000,0.000180,0.000000,0.016480,0.016563
0.000018,0.000122,0.000000,0.000150,0.000000,0.014272,0.014306
0.000018,0.000136,0.000000,0.000165,0.000000,0.015386,0.015438
0.000021,0.000144,0.000000,0.000173,0.000000,0.010764,0.010824
0.000024,0.000159,0.000000,0.000189,0.000000,0.026000,0.026045
0.000022,0.000127,0.000000,0.000154,0.000000,0.019685,0.019718
0.000019,0.000137,0.000000,0.000167,0.000000,0.018415,0.018530
0.000021,0.000293,0.000000,0.000339,0.000000,0.008158,0.008214
0.000019,0.000134,0.000000,0.000163,0.000000,0.009157,0.009187
0.000021,0.000132,0.000000,0.000161,0.000000,0.009108,0.009155
0.000021,0.000134,0.000000,0.000166,0.000000,0.008879,0.008929
0.000021,0.000128,0.000000,0.000160,0.000000,0.009380,0.009411
0.000020,0.000142,0.000000,0.000173,0.000000,0.012935,0.012974
0.000019,0.000128,0.000000,0.000156,0.000000,0.009592,0.009622
0.000018,0.000123,0.000000,0.000152,0.000000,0.010116,0.010145
0.000019,0.000130,0.000000,0.000159,0.000000,0.007235,0.007352
0.000020,0.000130,0.000000,0.000163,0.000000,0.007548,0.007582
0.000019,0.000128,0.000000,0.000157,0.000000,0.007197,0.007227
0.000020,0.000121,0.000000,0.000154,0.000000,0.009915,0.009946
0.000023,0.000134,0.000000,0.000166,0.000000,0.007887,0.007918
0.000021,0.000133,0.000000,0.000166,0.000000,0.009897,0.009927
0.000018,0.000134,0.000000,0.000163,0.000000,0.009462,0.009531
0.000089,0.000200,0.000000,0.000239,0.000000,0.012693,0.012741
0.000021,0.000137,0.000000,0.000167,0.000000,0.010820,0.010859
