time_namelookup (seconds),time_connect (seconds),time_appconnect (seconds),time_pretransfer (seconds),time_redirect (seconds),time_starttransfer (seconds),time_total (seconds)
0.000020,0.000132,0.000000,0.000164,0.000000,0.091629,0.092270
0.000078,0.000967,0.000000,0.001148,0.000000,0.121133,0.121709
0.000020,0.000116,0.000000,0.000146,0.000000,0.095769,0.096555
0.000020,0.000135,0.000000,0.000164,0.000000,0.189567,0.190421
0.000023,0.000144,0.000000,0.000175,0.000000,0.129337,0.129569
0.000029,0.000195,0.000000,0.000248,0.000000,0.044951,0.045130
0.000026,0.000156,0.000000,0.000223,0.000000,0.046806,0.046996
0.000048,0.000157,0.000000,0.000191,0.000000,0.089109,0.089923
0.000018,0.000124,0.000000,0.000154,0.000000,0.178766,0.178955
0.000038,0.000225,0.000000,0.000290,0.000000,0.014173,0.014496
0.000021,0.000135,0.000000,0.000169,0.000000,0.058616,0.058793
0.000023,0.000135,0.000000,0.000166,0.000000,0.168113,0.168580
0.000058,0.000305,0.000000,0.000391,0.000000,0.146144,0.146690
0.000020,0.000133,0.000000,0.000164,0.000000,0.087283,0.087471
0.000022,0.000123,0.000000,0.000156,0.000000,0.053751,0.054503
0.000020,0.000133,0.000000,0.000166,0.000000,0.042009,0.042256
0.000020,0.000143,0.000000,0.000173,0.000000,0.057816,0.057996
0.000022,0.000135,0.000000,0.000163,0.000000,0.054722,0.054904
0.000023,0.000152,0.000000,0.000195,0.000000,0.149387,0.150245
0.000024,0.000121,0.000000,0.000150,0.000000,0.088399,0.088597
0.000022,0.000223,0.000000,0.000262,0.000000,0.060721,0.061121
0.000019,0.000150,0.000000,0.000180,0.000000,0.074526,0.074566
0.000021,0.000129,0.000000,0.000161,0.000000,0.089251,0.089569
0.000020,0.000231,0.000000,0.001560,0.000000,0.089019,0.089196
0.000022,0.000149,0.000000,0.000186,0.000000,0.154861,0.156330
0.000023,0.000132,0.000000,0.000169,0.000000,0.023000,0.023202
0.000022,0.000149,0.000000,0.000186,0.000000,0.077448,0.077730
0.000021,0.000140,0.000000,0.000172,0.000000,0.066677,0.066942
0.000026,0.000157,0.000000,0.000198,0.000000,0.075162,0.075522
0.000023,0.000318,0.000000,0.000367,0.000000,0.045215,0.045498
0.000021,0.000240,0.000000,0.000287,0.000000,0.035733,0.035936
0.000018,0.000127,0.000000,0.000160,0.000000,0.067833,0.068031
0.000032,0.000177,0.000000,0.000232,0.000000,0.122981,0.123198
0.000020,0.000128,0.000000,0.000162,0.000000,0.082241,0.082431
0.000018,0.000133,0.000000,0.000163,0.000000,0.164473,0.165483
0.000018,0.000140,0.000000,0.000171,0.000000,0.015453,0.015633
0.000020,0.000136,0.000000,0.000169,0.000000,0.054556,0.054743
0.000038,0.000213,0.000000,0.000266,0.000000,0.203988,0.204442
0.000022,0.000646,0.000000,0.001913,0.000000,0.045472,0.045641
0.000022,0.000143,0.000000,0.000175,0.000000,0.062884,0.063071
0.000027,0.000157,0.000000,0.000202,0.000000,0.059460,0.059841
0.000020,0.000127,0.000000,0.000160,0.000000,0.186844,0.187425
0.000022,0.000146,0.000000,0.000183,0.000000,0.036227,0.036447
0.000028,0.000157,0.000000,0.000196,0.000000,0.038682,0.038951
0.000026,0.000170,0.000000,0.000209,0.000000,0.089224,0.089516
0.000030,0.000182,0.000000,0.000235,0.000000,0.030872,0.031152
0.000032,0.000177,0.000000,0.000219,0.000000,0.078849,0.079100
0.000029,0.000171,0.000000,0.000217,0.000000,0.080971,0.081281
0.000021,0.000137,0.000000,0.000174,0.000000,0.094522,0.094565
0.000022,0.000138,0.000000,0.000170,0.000000,0.265105,0.266611
0.000025,0.000169,0.000000,0.000207,0.000000,0.080725,0.081020
0.000029,0.000188,0.000000,0.000235,0.000000,0.069316,0.069591
0.000031,0.000189,0.000000,0.000244,0.000000,0.025420,0.025733
0.000029,0.000176,0.000000,0.000228,0.000000,0.061630,0.062296
0.000031,0.000191,0.000000,0.000237,0.000000,0.076351,0.076820
0.000031,0.000185,0.000000,0.000237,0.000000,0.030606,0.031351
0.000018,0.000115,0.000000,0.000144,0.000000,0.096645,0.097542
0.000032,0.000195,0.000000,0.000246,0.000000,0.042416,0.042459
0.000036,0.000230,0.000000,0.000288,0.000000,0.063149,0.063480
0.000043,0.000229,0.000000,0.000293,0.000000,0.059108,0.059757
0.000029,0.000169,0.000000,0.000217,0.000000,0.024169,0.024473
0.000088,0.000441,0.000000,0.000588,0.000000,0.091560,0.091790
0.000026,0.000149,0.000000,0.000194,0.000000,0.083637,0.083688
0.000037,0.000216,0.000000,0.000269,0.000000,0.247150,0.247235
0.000024,0.000150,0.000000,0.000191,0.000000,0.049087,0.049322
0.000022,0.000152,0.000000,0.000187,0.000000,0.080365,0.080579
0.000019,0.000130,0.000000,0.000159,0.000000,0.129142,0.129298
0.000023,0.000148,0.000000,0.000179,0.000000,0.039984,0.040182
0.000025,0.000160,0.000000,0.000199,0.000000,0.024023,0.024271
0.000020,0.000218,0.000000,0.000250,0.000000,0.021419,0.021599
0.000023,0.000124,0.000000,0.000172,0.000000,0.055546,0.055783
0.000020,0.000131,0.000000,0.000161,0.000000,0.019318,0.019488
0.000030,0.000230,0.000000,0.000284,0.000000,0.067415,0.067737
0.000025,0.000148,0.000000,0.000187,0.000000,0.076507,0.076716
